       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447068        -137.30231349
    2300          53.81193894          17.16313902        -154.43944723        -137.27630821
    2400          59.52572193          18.98553111        -156.33952786        -137.35399675
    2500          58.92686586          18.79452795        -156.03041541        -137.23588745
    2600          61.65941058          19.66606401        -156.94491184        -137.27884783
    2700          58.81987809          18.76040456        -156.07031127        -137.30990671
    2800          53.15475431          16.95353217        -154.26693028        -137.31339811
    2900          54.95193293          17.52673631        -154.82877245        -137.30203614
    3000          55.99963496          17.86089739        -155.23428931        -137.37339192
    3100          56.97370016          18.17157225        -155.46229995        -137.29072771
    3200          54.82661071          17.48676521        -154.82426029        -137.33749509
    3300          58.17828952          18.55577202        -155.99088303        -137.43511101
    3400          57.28760613          18.27169151        -155.64131986        -137.36962835
    3500          55.43525683          17.68089086        -155.09612977        -137.41523891
    3600          55.08689757          17.56978283        -155.00142539        -137.43164256
    3700          56.84772507          18.13139291        -155.56340234        -137.43200942
    3800          51.62385772          16.46525779        -153.98189619        -137.51663840
    3900          52.18967600          16.64572365        -154.10776504        -137.46204140
    4000          52.04667755          16.60011477        -153.99312360        -137.39300883
    4100          56.74276905          18.09791754        -155.56882653        -137.47090899
    4200          51.99442757          16.58344981        -154.04164446        -137.45819465
    4300          51.52683336          16.43431219        -153.89672391        -137.46241172
    4400          53.09479427          16.93440811        -154.37771282        -137.44330471
    4500          55.28695455          17.63359034        -154.99475576        -137.36116542
    4600          50.52133077          16.11361048        -153.48184059        -137.36823010
    4700          54.83546880          17.48959047        -154.82636197        -137.33677150
    4800          51.57415545          16.44940542        -153.90380247        -137.45439705
    4900          44.19012310          14.09429285        -151.44934627        -137.35505342
    5000          51.68353830          16.48429271        -153.91600589        -137.43171318
    5100          51.91385862          16.55775261        -153.99280524        -137.43505263
    5200          52.55319354          16.76166636        -154.10251923        -137.34085287
    5300          55.81569163          17.80222928        -155.18648636        -137.38425708
    5400          52.36339718          16.70113144        -154.11650207        -137.41537063
    5500          49.20177961          15.69274403        -152.98989588        -137.29715185
    5600          49.84367723          15.89747514        -153.39472651        -137.49725137
    5700          55.51280459          17.70562446        -155.19493297        -137.48930850
    5800          49.46875292          15.77789428        -153.18514463        -137.40725035
    5900          51.08984021          16.29493468        -153.70232073        -137.40738605
    6000          59.67311391          19.03254129        -156.46759739        -137.43505610
    6100          55.04943499          17.55783427        -154.88289403        -137.32505976
    6200          46.46639251          14.82030141        -152.16019003        -137.33988862
    6300          50.04458005          15.96155243        -153.29781527        -137.33626284
    6400          55.18294305          17.60041622        -154.97238690        -137.37197068
    6500          50.95385575          16.25156289        -153.52115064        -137.26958775
    6600          47.89091853          15.27464924        -152.67811023        -137.40346098
    6700          47.55251856          15.16671770        -152.59731848        -137.43060078
    6800          50.35408985          16.06026955        -153.42076034        -137.36049079
    6900          49.75002811          15.86760606        -153.23591535        -137.36830928
    7000          53.11585231          16.94112450        -154.27047216        -137.32934765
    7100          47.56669752          15.17124003        -152.48831552        -137.31707549
    7200          50.97558911          16.25849467        -153.50934246        -137.25084779
    7300          48.35012096          15.42111033        -152.75342647        -137.33231613
    7400          53.74026755          17.14027967        -154.35990875        -137.21962908
    7500          49.48905875          15.78437076        -153.15972629        -137.37535553
    7600          51.07605355          16.29053747        -153.65042221        -137.35988475
    7700          52.58047990          16.77036925        -154.08749113        -137.31712188
    7800          44.04245234          14.04719375        -151.36410870        -137.31691495
    7900          50.75629491          16.18855152        -153.58371560        -137.39516409
    8000          52.35769699          16.69931338        -154.13435022        -137.43503683
    8100          55.58547857          17.72880359        -155.17530155        -137.44649797
    8200          50.25389489          16.02831270        -153.38024980        -137.35193710
    8300          55.26481011          17.62652745        -155.01823241        -137.39170496
    8400          54.40214719          17.35138398        -154.81736818        -137.46598420
    8500          53.74598869          17.14210441        -154.63566262        -137.49355821
    8600          51.58784482          16.45377159        -153.77827376        -137.32450216
    8700          54.13463062          17.26606046        -154.67304300        -137.40698254
    8800          53.18892448          16.96443063        -154.31247061        -137.34803999
    8900          53.05203982          16.92077172        -154.31944598        -137.39867426
    9000          52.33033691          16.69058698        -154.08182109        -137.39123411
    9100          53.45493205          17.04927286        -154.48679259        -137.43751974
    9200          52.37048160          16.70339099        -154.14549371        -137.44210272
